"Profile","Region","guardDutyStatus","configStatus"
"fennia-omafennia-dv-euwest1","us-east-1","Enabled","Enabled"
"fennia-omafennia-pd-euwest1","eu-central-1","Enabled","Enabled"
"fennia-omafennia-pd-euwest1","eu-west-1","Enabled","Enabled"
"fennia-omafennia-pd-euwest1","us-east-1","Enabled","Enabled"
"fennia-omafennia-te-euwest1","eu-central-1","Enabled","Enabled"
"fennia-omafennia-te-euwest1","eu-west-1","Enabled","Enabled"
"fennia-omafennia-te-euwest1","us-east-1","Enabled","Enabled"
"fennia-opentext-dv-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-opentext-dv-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-opentext-dv-eucentral1","us-east-1","Enabled","Enabled"
"fennia-opentext-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-opentext-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-opentext-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-patu-sandbox-sb-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-patu-sandbox-sb-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-patu-sandbox-sb-eucentral1","us-east-1","Enabled","Enabled"
"fennia-pricing-dv-euwest1","eu-central-1","Enabled","Enabled"
"fennia-pricing-dv-euwest1","eu-west-1","Enabled","Enabled"
"fennia-pricing-dv-euwest1","us-east-1","Enabled","Enabled"
"fennia-sagemaker-sb-euwest1","eu-central-1","Enabled","Enabled"
"fennia-sagemaker-sb-euwest1","eu-west-1","Enabled","Enabled"
"fennia-sagemaker-sb-euwest1","us-east-1","Enabled","Enabled"
"fennia-servicelayer-dv-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-servicelayer-dv-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-servicelayer-dv-eucentral1","us-east-1","Enabled","Enabled"
"fennia-servicelayer-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-servicelayer-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-servicelayer-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-servicelayer-te-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-servicelayer-te-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-servicelayer-te-eucentral1","us-east-1","Enabled","Enabled"
"fennia-webshop-dv-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-webshop-dv-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-webshop-dv-eucentral1","us-east-1","Enabled","Enabled"
"fennia-webshop-pd-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-webshop-pd-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-webshop-pd-eucentral1","us-east-1","Enabled","Enabled"
"fennia-webshop-te-eucentral1","eu-central-1","Enabled","Enabled"
"fennia-webshop-te-eucentral1","eu-west-1","Enabled","Enabled"
"fennia-webshop-te-eucentral1","us-east-1","Enabled","Enabled"
