"Profile","Region","EC2_Count","EBS_count","S3_Count","Lambda_Count","RDS_Count","DynamoDB_count","Redis_count","ECS_Count","CloudFormation_Count","EKS_Clusters_Count","VPC_Count","IGW_count","NAT_count","CloudWatch_Alarms_Count","Activity_Detected"
"fennia-integration-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-sb-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-sb-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-sb-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-sb-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-integration-sb-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-dv-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-dv-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-dv-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-dv-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-dv-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-sb-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-sb-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-sb-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-sb-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-sb-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-te-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-te-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-te-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-te-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-kompassi-te-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-dv-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-dv-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-dv-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-dv-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-dv-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-pd-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-pd-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-pd-eucentral1","ca-central-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-pd-eucentral1","us-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-pd-eucentral1","us-east-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-te-eucentral1","eu-north-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
"fennia-laske-osta-te-eucentral1","eu-west-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","False"
